zone,zone_name,id,party,name
13,M/East,148,Shiv Sena,Nidhi Pramod Shinde
14,M/East,134,Samajwadi Party,SHAERA SHAFAHAD KHAN
14,M/East,135,Shiv Sena,Samiksha Deepak Sakre
14,M/East,136,Samajwadi Party,RUKHSANA NAZIM SIDDIQUI
14,M/East,137,Samajwadi Party,Ayesha Rafique Shaikh
14,M/East,138,Samajwadi Party,AYESHABANO AINMOHAMMED KHAN
14,M/East,139,Samajwadi Party,AKHTER ABDULRAJJAK QURESHI
14,M/East,140,Nationalist Congress Party,Nadiya Mohsin Shaikh
14,M/East,141,Indian National Congress,Vitthal Govind Lokare
14,M/East,142,Shiv Sena,VAISHALI NAVIN SHEWALE
14,M/East,143,Shiv Sena,Rutuja Rhadayanath Tari
14,M/East,144,Bharatiya Janata Party,Anita Dinesh Panchal
15,L,156,Maharashtra Navnirman Sena,ASHWINI ASHOK MATEKAR
15,L,157,Shiv Sena,AAKANSHA SANJAY SHETYE
15,L,158,Shiv Sena,CHITRA SOMNATH SANGLE
15,L,159,Bharatiya Janata Party,Prakash Devji More
15,L,160,Independent,KIRAN JYOTIRAM LANDGE
15,L,161,Shiv Sena,Vijayendra Onkar Shinde
15,L,162,Indian National Congress,WAJID WAHID QURESHI
15,L,164,Bharatiya Janata Party,HARISH KRISHNA BHANDIRGE
16,L,163,Maharashtra Navnirman Sena,DILIP BHAUSAHEB LANDE
16,L,165,Indian National Congress,MOHAMMEDASHRAF MOHAMMEDASLAM AZMI
16,L,166,Maharashtra Navnirman Sena,Sanjay Ramchandra Turde
16,L,167,Indian National Congress,DILSHADBANU MOHAMMEDASHRAF AZMI
16,L,168,Nationalist Congress Party,Saeeda Arif Khan
16,L,169,Shiv Sena,PRAVINA MANISH MORAJKAR
16,L,170,Nationalist Congress Party,AbdulRashidKaptan MohammadIslam Malik
16,L,171,Shiv Sena,SANVEE VIJAY TANDEL
17,F/North,172,Bharatiya Janata Party,Rajeshree Rajesh Shirwadkar
17,F/North,173,Shiv Sena,PRALHAD ABA THOMBRE
17,F/North,174,Bharatiya Janata Party,KRISHNAVENI VINOD REDDY
17,F/North,175,Shiv Sena,MANGESH SHRIDHAR SATAMKAR
17,F/North,176,Indian National Congress,RAVI KONDU RAJA
17,F/North,177,Bharatiya Janata Party,Nehal Amar Shah
17,F/North,178,Shiv Sena,Amey Arun Ghole
17,F/North,179,Indian National Congress,SUFIYAN NIYAZAHMED VANU
17,F/North,180,Shiv Sena,SMITA SHARAD GAONKAR
17,F/North,181,Indian National Congress,PUSHPA KRISHNA KOLI
18,G/North,182,Shiv Sena,Milind Dattaram Vaidya
18,G/North,183,Indian National Congress,GANGA KUNAL MANE
18,G/North,184,Indian National Congress,BABU SAFAJALLI KHAN
18,G/North,185,Shiv Sena,JAGDISH MAKKUNNY THAIVALAPILL
18,G/North,186,Shiv Sena,VASANT SHIVRAM NAKASHE
18,G/North,187,Shiv Sena,MARIAMMAL KANDASWAMY THEVAR
18,G/North,188,Nationalist Congress Party,RESHMABANO MOHAMMADHASIM KHAN
18,G/North,189,Maharashtra Navnirman Sena,HARSHALA ASHISH MORE
18,G/North,190,Bharatiya Janata Party,Sheetal Suresh Gambhir
18,G/North,191,Shiv Sena,VISHAKHA SHARAD RAUT
18,G/North,192,Shiv Sena,PRITI PRAKASH PATANKAR
23,G/South,193,Shiv Sena,Hemangi Hareshwar Worlikar
23,G/South,194,Shiv Sena,samadhan sadanand sarvankar
23,G/South,195,Shiv Sena,Santosh Namdeo Kharat
23,G/South,196,Shiv Sena,Ashish Ramnath Chemburkar
23,G/South,197,Maharashtra Navnirman Sena,DATTARAM SHIVARAM NARVANKAR
23,G/South,198,Shiv Sena,SNEHAL SURYAKANT AMBEKAR
23,G/South,199,Shiv Sena,Kishori Kishor Pednekar
19,F/South,200,Shiv Sena,URMILA ULHAS PANCHAL
19,F/South,201,Indian National Congress,Supriya Sunil More
19,F/South,202,Shiv Sena,SHRADDHA SHRIDHAR JADHAV
19,F/South,203,Shiv Sena,sindhu ravindranath Masurkar
19,F/South,204,Shiv Sena,ANIL SADASHIV KOKIL
19,F/South,205,Shiv Sena,DATTARAM RAMBHAU PONGADE
19,F/South,206,Shiv Sena,SACHIN DEVDAS PADWAL
20,D,214,Bharatiya Janata Party,SARITA AJAY PATIL
20,D,215,Shiv Sena,Arundhati Arvind Dudhwadkar
